0
Magnitude
Start_Year
Start_Month
Start_Day
End_Year
End_Month
End_Day
Total_Deaths
No_Injured
No_Affected
No_Homeless
Total_Affected
Total_Damage_000_US
Total_Damage_Adjusted_000_US
CPI
duration_days
decade
has_Total_Deaths
has_No_Injured
has_No_Affected
has_No_Homeless
has_Total_Affected
has_Total_Damage_000_US
has_Total_Damage_Adjusted_000_US
Historic_Yes
Region_Americas
Region_Asia
Region_Europe
Region_Oceania
Origin_Abundant_snowmelt_and_heavy_rains
Origin_Active_monsoonal_rainfall
Origin_After_flood
Origin_After_flooding
Origin_Arctic_blast_associated_with_the_Polar_Vortex
Origin_Bad_distibution_of_rain_conflict_and_bad_recolt
Origin_Bad_weather_associated_with_tropical_storm_Chris
Origin_Barbecue_and_high_winds
Origin_Basic_infrastructure_inefficient_water_quality_and_sanitation_poor
Origin_Below_average_precipitation
Origin_Break_release_of_dam_levy
Origin_Breakdown_water_supply_poor_hygiene_practices_and_increase_of_number_of_displaced_perdons
Origin_Breif_torrential_rain
Origin_Brief_torrential_rain
Origin_Brief_torrential_rain_and_snowmelt
Origin_Brief_torrential_rains
Origin_Climatic_conditions_and_refugees
Origin_Cold_front
Origin_Cold_front_meeting_warm_moist_air
Origin_Cold_spell
Origin_Combination_of_heat_extented_drought_and_gusty_winds
Origin_Combination_of_low_pressure_system_and_tropical_depression
Origin_Combination_of_well_above_normal_temperature_and_lack_of_rainfall
Origin_Combination_of_well_above_normal_tempertaure_and_lack_of_rainfall
Origin_Combined_effect_of_the_rainy_season_and_limited_access_to_potable_water_and_poor_sanitation_facilities
Origin_Combined_impact_of_poor_rainfall_and_extremely_high_temperatures
Origin_Consecutive_seasons_of_poor_rainfall_rapid_population_growth_sustained_high_food_prices_endemic_poverty
Origin_Constant_rains
Origin_Contaminated_water
Origin_Contaminated_water_supply
Origin_Contamination_of_the_Biver_river_and_its_tributaries
Origin_Contamination_of_water
Origin_Continous_rainfall
Origin_Continous_rains
Origin_Continuous_heavy_rains
Origin_Continuous_monsoon_rain
Origin_Continuous_rain
Origin_Continuous_rain_from_tropical_depression_Ambo
Origin_Continuous_rainfall
Origin_Continuous_rainfall_and_opening_of_Nagb_to_dam_in_Togo
Origin_Continuous_rains
Origin_Continuous_rains_and_snowfalls
Origin_Continuous_rains_due_to_tail_end_of_a_cold_front
Origin_Continuous_showers_and_thuderstorms_Effect_of_Continuous_Rain_and_Thunderstorms_Due_to_Intertropical_Convergence_Zone
Origin_Continuous_torrential_rain_combined_with_monsoonal_depression
Origin_Covid_19_pandemic_crop_pests_food_insecurity_and_livestock_diseases
Origin_Crop_failure_lack_pasture_poor_erratic_long_rains
Origin_Cut_off_low_pressure_area_locally_referred_to_as_DANA
Origin_Cyclone_Beni_heavy_rains
Origin_Cyclone_Cleopatra
Origin_Cyclone_Tasha_La_Nina
Origin_DRought_and_high_winds
Origin_Dam_break
Origin_Dam_burst_snowmelt
Origin_Dam_Levy_break_or_release
Origin_Dam_Levy_break_or_release_and_heavy_rains
Origin_Dam_levy_break_of_release_rains_and_snowmelt
Origin_Dam_levy_break_or_release
Origin_Dam_levy_break_or_release_87
Origin_Days_of_rains_and_hails
Origin_Delayed_and_below_normal_rains
Origin_Depression_Gonzalo
Origin_Dirty_water
Origin_Droght_winds
Origin_Drought
Origin_Drought_and_locusts_infestation
Origin_Drought_and_strong_winds_Mistral
Origin_Drought_and_very_high_temperatures
Origin_Drought_conditions_and_strong_winds
Origin_Drought_conditions_gusty_winds_warm_temperatures_lightening
Origin_Drought_period
Origin_Drought_situation
Origin_Drought_El_Nino
Origin_Drought_cyclone_et_inondations
Origin_Drought_high_temperatures_and_strong_winds
