Model,Accuracy,F1 Macro,F1 Weighted,Precision,Recall
LightGBM,0.9062,0.809,0.898,0.854,0.7832
Random Forest,0.8941,0.7992,0.8894,0.8216,0.7832
XGBoost,0.9056,0.797,0.8947,0.8557,0.7696
Decision Tree,0.8867,0.7951,0.8844,0.8016,0.7895
Logistic Regression,0.8887,0.7308,0.8655,0.8525,0.705
SVM,0.8858,0.6783,0.8483,0.8562,0.6723
